City_Name,PM2_5_Mean,PM10_Mean,NO2_Mean,Population,Air_Quality_Year,Country_Name,Greenness_Public_Share,GDP_Capita
aalborg,7.548,,13.243,203448.0,2020.0,denmark,20.3,72097.305
adelaide,6.14,20.643,11.571,1336403.0,2019.0,australia,20.2,59552.88
aguascalientes,25.0,41.5,40.5,1106453.0,2018.0,mexico,7.0,22142.607
alcala de henares,10.147,18.339,24.276,197562.0,2021.0,spain,18.2,47141.543
alicante,8.944,18.689,12.362,369758.0,2021.0,spain,14.1,47141.543
anantapur,31.0,60.0,14.667,448883.0,2020.0,india,12.8,9160.063
angers,9.741,14.45,10.045,180297.0,2021.0,france,14.3,55441.188
ankara,19.683,47.473,51.129,5117603.0,2020.0,turkey,13.2,34609.914
antalya,32.531,39.331,54.165,1253872.0,2019.0,turkey,12.6,34609.914
antwerpen,11.157,21.401,26.294,1042471.0,2020.0,belgium,22.1,64185.848
recife,6.961,28.842,9.96,64645.0,2021.0,brazil,19.4,19018.238
ashdod,15.8,,18.592,225939.0,2021.0,israel,17.2,48432.11
auckland,5.5,10.429,5.433,1606564.0,2021.0,new zealand,20.7,48826.574
baghdad,48.5,,63.162,7144260.0,2021.0,iraq,18.4,12711.062
bahia blanca,11.9,36.75,4.25,315533.0,2021.0,argentina,19.1,27104.98
balikesir,15.29,47.832,26.881,319060.0,2020.0,turkey,13.3,34609.914
bangkok,23.417,44.333,30.97,10539415.0,2021.0,thailand,14.9,21142.664
bareilly,27.0,175.5,37.0,1255287.0,2020.0,india,12.4,9160.063
basel,10.867,15.733,23.133,559027.0,2021.0,switzerland,16.2,82557.55
belgaum,30.0,70.0,12.0,724747.0,2020.0,india,13.0,9160.063
bene beraq,23.8,,32.817,204640.0,2021.0,israel,15.5,48432.11
berlin,13.069,20.174,27.449,3562038.0,2021.0,germany,19.7,63578.14
bern,9.2,14.75,22.267,429734.0,2021.0,switzerland,25.8,82557.55
besancon,8.991,14.037,14.334,115934.0,2021.0,france,13.0,55441.188
bhopal,61.0,157.5,16.333,2389547.0,2020.0,india,21.7,9160.063
bilbao,10.051,17.827,17.458,349633.0,2021.0,spain,21.7,47141.543
bogota,15.587,31.815,29.008,10978360.0,2021.0,colombia,38.4,18692.385
bologna,14.993,23.466,26.16,805986.0,2021.0,italy,20.9,53312.07
boston,6.417,14.3,14.4,4308634.0,2021.0,united states,19.8,74577.51
braila,12.737,23.112,9.156,202740.0,2020.0,romania,15.4,40665.527
bratislava,13.264,19.135,17.973,434926.0,2021.0,slovakia,26.1,39290.434
brest,6.925,16.279,14.519,140064.0,2021.0,belarus,11.8,27718.322
brisbane,7.5,19.5,8.433,2406182.0,2019.0,australia,19.5,59552.88
brno,15.838,22.489,24.492,378485.0,2021.0,czechia,15.5,49681.06
budapest,14.458,24.975,27.224,1768073.0,2020.0,hungary,19.5,40543.992
busan,21.024,36.073,0.021,3465190.0,2019.0,south korea,14.8,50572.25
bydgoszcz,12.877,25.107,20.284,347522.0,2020.0,poland,43.3,44384.168
calgary,6.667,,23.0,1547484.0,2020.0,canada,27.3,55918.93
canberra,13.9,21.933,9.418,457330.0,2019.0,australia,21.9,59552.88
cape town,14.855,36.336,17.2,4617560.0,2021.0,south africa,22.2,13690.39
capital governorate,37.5,106.0,67.947,584313.0,2021.0,bahrain,16.3,57213.09
cardiff,7.447,15.37,17.703,477627.0,2020.0,united kingdom,18.9,54542.016
carlisle,8.395,16.378,18.972,108524.0,2020.0,united kingdom,21.9,54542.016
cartagena,9.458,22.467,12.411,216108.0,2021.0,colombia,23.7,18692.385
central coast,10.5,21.1,7.826,334922.0,2019.0,australia,17.9,59552.88
chandigarh,60.0,92.4,15.2,1148472.0,2020.0,india,17.3,9160.063
